,0,1,2,3,4,5,6,7,8,9
10,433.45,164,"(-4.61, -0.55, 1.81)","(29.75, 1.5625, -46.6875)","(-0.5833333333333334, -5.708888888888889, -3.3877777777777776)","(-0.5833333333333334, -5.708888888888889, -3.3877777777777776)","(14.4375, -65.0, 5.4375)","(0.8358154296875, 0.04400634765625, 0.536865234375, -0.1060791015625)","(5.5, -1.3900000000000001, -0.44)","(-8.89, -0.39, 4.11)"
11,476.80400000000003,164,"(-5.69, -4.1, 8.41)","(24.1875, 9.75, -46.875)","(-1.0522222222222222, -8.523333333333333, -3.398888888888889)","(-1.0522222222222222, -8.523333333333333, -3.398888888888889)","(19.3125, -46.25, 14.25)","(0.90069580078125, -0.025390625, 0.40570068359375, -0.15338134765625)","(1.75, -2.49, 1.99)","(-6.48, -1.8900000000000001, 7.1000000000000005)"
12,518.9390000000001,164,"(-3.21, -4.7, 9.290000000000001)","(24.1875, 9.75, -46.875)","(-0.8466666666666667, -7.238888888888889, -0.9266666666666666)","(-0.39, -6.213333333333333, -0.1988888888888889)","(19.4375, -29.625, 15.125)","(0.945068359375, -0.07330322265625, 0.2744140625, -0.16192626953125)","(0.86, -3.0500000000000003, 2.13)","(-4.44, -2.21, 8.45)"
13,559.13,164,"(-5.38, -5.73, 12.06)","(14.5625, 14.25, -49.5)","(0.06333333333333334, -3.0388888888888888, -0.08666666666666667)","(0.06333333333333334, -3.0388888888888888, -0.08666666666666667)","(17.9375, -21.0625, 13.5625)","(0.96441650390625, -0.0821533203125, 0.19970703125, -0.1524658203125)","(-2.21, -1.8, 3.93)","(-3.31, -2.18, 8.96)"
14,600.8520000000001,164,"(-5.64, -2.85, 13.16)","(-0.25, 11.1875, -49.5625)","(-0.4855555555555556, -0.8988888888888888, -0.7222222222222222)","(-0.4855555555555556, -0.8988888888888888, -0.7222222222222222)","(18.8125, -17.25, 14.6875)","(0.96722412109375, -0.09979248046875, 0.1673583984375, -0.16278076171875)","(-3.15, -0.27, 4.39)","(-2.85, -2.42, 9.06)"
15,644.356,164,"(-6.12, -2.93, 13.51)","(-2.25, 10.5625, -45.375)","(-0.23, 0.46444444444444444, -0.36444444444444446)","(-0.23, 0.46444444444444444, -0.36444444444444446)","(19.9375, -17.3125, 15.8125)","(0.96453857421875, -0.1044921875, 0.17291259765625, -0.169921875)","(-3.56, -0.8, 5.3)","(-2.99, -2.54, 8.98)"
16,689.305,164,"(-6.4, -3.94, 15.4)","(-5.0625, 11.375, -44.75)","(1.2277777777777779, 1.9966666666666666, 0.035555555555555556)","(1.2277777777777779, 1.9966666666666666, 0.035555555555555556)","(20.875, -20.125, 14.5625)","(0.95867919921875, -0.07830810546875, 0.20654296875, -0.17919921875)","(-2.61, -2.07, 6.51)","(-3.6, -2.19, 8.84)"
17,733.782,164,"(-6.93, -4.04, 14.950000000000001)","(-3.25, 10.6875, -47.0)","(1.5355555555555556, 5.135555555555555, 0.30333333333333334)","(1.5355555555555556, 5.135555555555555, 0.30333333333333334)","(22.3125, -31.75, 11.375)","(0.9393310546875, -0.032958984375, 0.28662109375, -0.1854248046875)","(-2.16, -2.02, 5.71)","(-5.71, -1.5, 7.82)"
18,777.7610000000001,164,"(-5.61, -3.3000000000000003, 11.49)","(4.25, 8.875, -47.6875)","(1.8922222222222222, 8.936666666666667, 1.0888888888888888)","(2.088888888888889, 9.66, 1.3311111111111111)","(23.0625, -50.1875, 8.3125)","(0.88531494140625, 0.03460693359375, 0.427001953125, -0.180908203125)","(2.89, -2.23, 4.36)","(-8.11, -0.67, 5.46)"
19,819.455,164,"(-3.98, -2.31, 5.04)","(4.25, 8.875, -47.6875)","(2.1222222222222222, 10.584444444444445, 1.991111111111111)","(1.9644444444444444, 10.472222222222221, 2.108888888888889)","(22.375, -73.125, -1.5625)","(0.78778076171875, 0.12078857421875, 0.58343505859375, -0.15618896484375)","(4.55, -1.76, 0.09)","(-9.61, 0.31, 1.92)"
20,859.5260000000001,164,"(-5.01, -0.8200000000000001, 0.6900000000000001)","(18.5625, 3.5, -42.875)","(1.0877777777777777, 8.1, 2.112222222222222)","(1.0877777777777777, 8.1, 2.112222222222222)","(19.125, -83.5, -174.4375)","(0.67694091796875, 0.18988037109375, 0.70184326171875, -0.1143798828125)","(5.62, -1.16, 0.29)","(-9.66, 1.1300000000000001, -1.23)"
21,901.421,164,"(-2.47, 0.74, -3.38)","(35.375, -0.25, -25.375)","(1.8055555555555556, 4.4655555555555555, 2.3044444444444445)","(1.8055555555555556, 4.4655555555555555, 2.3044444444444445)","(16.125, -70.875, -148.8125)","(0.5792236328125, 0.264892578125, 0.76678466796875, -0.08013916015625)","(7.48, -0.71, -1.95)","(-9.120000000000001, 1.8, -3.1)"
22,944.593,164,"(-0.63, 1.1400000000000001, -6.5200000000000005)","(45.0625, -2.75, -7.875)","(0.9733333333333334, 2.15, 2.017777777777778)","(0.9733333333333334, 2.15, 2.017777777777778)","(13.0625, -61.75, -149.6875)","(0.5404052734375, 0.31036376953125, 0.77960205078125, -0.0621337890625)","(8.540000000000001, -0.73, -2.7)","(-8.55, 2.45, -4.1)"
23,989.475,164,"(0.06, 2.29, -6.43)","(44.5625, -3.75, 1.375)","(0.6477777777777778, -0.56, 0.8144444444444444)","(0.6544444444444445, -1.1733333333333333, 0.35777777777777775)","(12.5625, -60.125, -146.8125)","(0.53692626953125, 0.3382568359375, 0.77056884765625, -0.05926513671875)","(8.28, 0.05, -2.34)","(-8.58, 2.63, -3.95)"
24,1039.833,164,"(-1.03, 2.74, -5.37)","(44.75, -4.0625, 3.75)","(0.02, -3.7911111111111113, -1.9844444444444445)","(0.02, -3.7911111111111113, -1.9844444444444445)","(18.125, -66.4375, -144.4375)","(0.58868408203125, 0.309814453125, 0.73919677734375, -0.105224609375)","(7.21, 0.39, -1.49)","(-9.17, 2.05, -2.79)"
25,1085.233,36,"(-3.2, 0.77, -2.23)","(46.5625, -2.0, 0.875)","(-1.2222222222222223, -6.676666666666667, -4.835555555555556)","(-1.2222222222222223, -6.676666666666667, -4.835555555555556)","(29.625, -86.0625, -177.125)","(0.66729736328125, 0.21929931640625, 0.689453125, -0.17669677734375)","(6.04, -1.44, -0.05)","(-9.8, -0.12, 0.26)"
26,1129.222,164,"(-5.41, -4.11, 5.33)","(45.0, 4.6875, -11.25)","(-3.22, -8.563333333333333, -7.725555555555555)","(-3.466666666666667, -8.802222222222222, -8.26)","(38.5625, -69.5625, 43.5)","(0.74700927734375, 0.0523681640625, 0.60888671875, -0.26165771484375)","(1.92, -3.3000000000000003, 3.5700000000000003)","(-8.72, -3.19, 3.12)"
27,1172.2109999999998,164,"(-4.67, -8.83, 4.69)","(45.0, 4.6875, -11.25)","(-5.914444444444444, -6.772222222222222, -8.421111111111111)","(-5.914444444444444, -6.772222222222222, -8.421111111111111)","(46.0625, -44.0, 53.625)","(0.77703857421875, -0.15423583984375, 0.512939453125, -0.33074951171875)","(0.6900000000000001, -3.04, 2.48)","(-6.140000000000001, -6.390000000000001, 4.17)"
28,1216.876,164,"(-6.26, -11.64, 7.66)","(32.0, 16.375, -26.875)","(-6.441111111111111, -3.1733333333333333, -6.204444444444444)","(-6.441111111111111, -3.1733333333333333, -6.204444444444444)","(51.6875, -21.6875, 69.6875)","(0.73175048828125, -0.3826904296875, 0.43853759765625, -0.35467529296875)","(-1.36, -5.42, 1.92)","(-3.11, -8.9, 2.67)"
29,1263.221,164,"(-4.58, -17.42, 3.64)","(14.75, 33.875, -27.1875)","(-4.607777777777778, 0.6655555555555556, -3.1333333333333333)","(-4.607777777777778, 0.6655555555555556, -3.1333333333333333)","(57.0625, -12.3125, 82.625)","(0.644775390625, -0.51226806640625, 0.4361572265625, -0.36279296875)","(-2.81, -9.5, 2.45)","(-1.87, -9.58, -326.76)"
30,1304.634,164,"(-3.94, -20.73, 1.85)","(-0.875, 48.6875, -16.25)","(1.4644444444444444, 1.8233333333333333, -0.5744444444444444)","(1.4644444444444444, 1.8233333333333333, -0.5744444444444444)","(64.125, -9.4375, 83.75)","(0.63043212890625, -0.49957275390625, 0.4437255859375, -0.39508056640625)","(-3.75, -10.78, 0.92)","(-1.74, -9.58, 1.1)"
31,1347.186,164,"(-7.03, -19.66, 4.0)","(-5.6875, 51.75, -8.375)","(-0.06666666666666667, 2.511111111111111, 2.4255555555555555)","(0.042222222222222223, 2.3844444444444446, 3.1222222222222222)","(64.3125, -14.625, 84.0)","(0.6280517578125, -0.45819091796875, 0.48956298828125, -0.3948974609375)","(-3.43, -7.82, 2.84)","(-2.84, -9.33, 1.0)"
32,1391.424,36,"(-6.16, -13.97, 3.63)","(-3.5625, 51.1875, -11.875)","(3.612222222222222, 2.8466666666666667, 6.2988888888888885)","(3.612222222222222, 2.8466666666666667, 6.2988888888888885)","(57.75, -30.3125, 78.75)","(0.6689453125, -0.3251953125, 0.55718994140625, -0.36920166015625)","(-1.48, -4.18, 2.56)","(-5.58, -7.86, 1.77)"
33,1439.455,164,"(-5.94, -8.84, 3.91)","(6.1875, 50.0625, -14.5625)","(3.38, 5.128888888888889, 8.03888888888889)","(3.38, 5.128888888888889, 8.03888888888889)","(51.375, -49.0625, 75.0625)","(0.686767578125, -0.11572265625, 0.643310546875, -0.31793212890625)","(3.16, -0.64, 0.89)","(-7.94, -5.57, 1.42)"
34,1483.921,164,"(-4.09, -4.4, 1.6400000000000001)","(23.75, 40.5, -21.875)","(2.167777777777778, 6.092222222222222, 7.357777777777778)","(2.167777777777778, 6.092222222222222, 7.357777777777778)","(42.4375, -72.25, 93.3125)","(0.6531982421875, 0.04437255859375, 0.7119140625, -0.25396728515625)","(5.94, -0.93, 0.35000000000000003)","(-9.49, -2.36, -0.67)"
35,1528.709,164,"(-3.34, -2.74, -1.42)","(39.875, 25.5, -17.6875)","(1.4944444444444445, 5.78, 6.63)","(1.4644444444444444, 5.622222222222222, 6.37)","(34.25, -76.5625, 163.8125)","(0.59576416015625, 0.18048095703125, 0.76068115234375, -0.18377685546875)","(6.84, -1.62, 0.18)","(-9.43, -0.11, -2.66)"
36,1570.084,164,"(-2.1, -0.8300000000000001, -3.37)","(39.875, 25.5, -17.6875)","(1.1877777777777778, 4.862222222222222, 5.073333333333333)","(1.1655555555555555, 4.471111111111111, 4.96)","(25.8125, -65.1875, -164.0)","(0.53253173828125, 0.28826904296875, 0.786376953125, -0.12200927734375)","(7.140000000000001, -1.8800000000000001, -0.16)","(-8.68, 1.47, -4.3)"
37,1610.0149999999999,164,"(-1.76, 0.58, -5.78)","(47.5625, 15.25, -4.0625)","(0.8288888888888889, 2.3666666666666667, 2.776666666666667)","(0.8288888888888889, 2.3666666666666667, 2.776666666666667)","(18.9375, -55.8125, -156.875)","(0.4781494140625, 0.37060546875, 0.79266357421875, -0.0750732421875)","(6.36, -1.17, -1.77)","(-7.98, 2.3000000000000003, -5.21)"
38,1654.7179999999998,164,"(-2.89, 1.3900000000000001, -6.72)","(46.6875, 11.5, 12.5)","(0.19777777777777777, -0.17555555555555555, 1.0322222222222222)","(0.19777777777777777, -0.17555555555555555, 1.0322222222222222)","(16.0, -52.9375, -153.5625)","(0.47515869140625, 0.392822265625, 0.78448486328125, -0.0670166015625)","(4.28, -0.93, -1.09)","(-7.88, 2.65, -5.18)"
39,1697.498,164,"(-4.79, 2.5, -5.46)","(46.0625, 8.0, 20.75)","(-0.35444444444444445, -2.0655555555555556, -0.4588888888888889)","(-0.3988888888888889, -2.2666666666666666, -0.7111111111111111)","(17.6875, -56.75, -150.9375)","(0.50445556640625, 0.38336181640625, 0.7696533203125, -0.0787353515625)","(2.44, 0.24, -0.8)","(-8.33, 2.5500000000000003, -4.49)"
40,1742.005,164,"(-6.7700000000000005, 2.7800000000000002, -5.0200000000000005)","(42.1875, 7.25, 19.0)","(-0.6977777777777778, -2.2822222222222224, -1.3211111111111111)","(-0.6977777777777778, -2.2822222222222224, -1.3211111111111111)","(20.625, -62.4375, -149.0625)","(0.548828125, 0.3494873046875, 0.7523193359375, -0.10321044921875)","(0.16, 0.26, 0.33)","(-8.8, 2.23, -3.68)"
41,1786.972,36,"(-10.22, 2.11, -2.69)","(42.875, 8.0625, 12.0625)","(-0.4888888888888889, -2.0877777777777777, -1.2133333333333334)","(-0.35777777777777775, -1.9844444444444445, -1.2255555555555555)","(23.875, -69.25, -147.3125)","(0.57952880859375, 0.3211669921875, 0.73883056640625, -0.12274169921875)","(-1.79, 0.2, -0.07)","(-9.24, 1.77, -2.75)"
